Mpio;Género;Edad;Educ;Cqt_bm;Problema;Gestión_Harry_González_Gestionpp;Gestion_Edwin_Valdéz_Gestionpp;Gestión_Álvaro_Pacheco_Gestionpp;GestiónAndrés_Perdomo_Gestión;Votopartd;Gob_vota;Gob_nuna_vota
FLORENCIA;Masculino;Mayor de 55;Primaria;Buen Camino;Salud;Aprueba;Ns/Nr;Aprueba;Aprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Oscar Raúl Rojas
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Corrupción;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Polo Democrático Alternativo;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Desaprueba;Mira;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Ns / Nr;Corrupción;Aprueba;Aprueba;Desaprueba;Desaprueba;Alianza Verde;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Posgrado;Buen Camino;Mototaxismo;Desaprueba;Aprueba;Desaprueba;Aprueba;Cambio Radical;Luis Francisco Ruíz Aguilar;Ns/Nr
FLORENCIA;Masculino;45-54;Universidad;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;18-24;Posgrado;Buen Camino;Salud;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;César Augusto Torres Ríos;Luis Francisco Ruíz Aguilar
FLORENCIA;Masculino;Mayor de 55;Secundaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;Mayor de 55;Secundaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Desaprueba;Desaprueba;Centro Democrático;Arnulfo Gasca Trujillo;Ns/Nr
FLORENCIA;Masculino;25-34;Posgrado;Buen Camino;Malla vial;Aprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Oscar Raúl Rojas;Ns/Nr
FLORENCIA;Masculino;35-44;Primaria;Ns / Nr;Corrupción;Ns/Nr;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Ns / Nr;Educación;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Alianza Verde;James Urrego Carvajal;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Desempleo;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Tecnología;Buen Camino;Explotación petrolera;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Luis Antonio Ruiz Cicery;James Urrego Carvajal
FLORENCIA;Femenino;45-54;Primaria;Mal Camino;Explotación petrolera;Aprueba;Ns/Nr;Aprueba;Desaprueba;Ns / Nr;Oscar Conde Ortiz;Ns/Nr
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Desempleo;Ns/Nr;Ns/Nr;Aprueba;Ns/Nr;Ns / Nr;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;25-34;Tecnología;Buen Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Aprueba;Centro Democrático;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Femenino;35-44;Secundaria;Mal Camino;Inseguridad;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Centro Democrático;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;45-54;Secundaria;Mal Camino;Explotación petrolera;Aprueba;Ns/Nr;Desaprueba;Desaprueba;Mira;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Posgrado;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Partido Liberal;Luis Antonio Ruiz Cicery;Ns/Nr
FLORENCIA;Masculino;45-54;Primaria;Mal Camino;Corrupción;Ns/Nr;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Posgrado;Mal Camino;Corrupción;Desaprueba;Ns/Nr;Aprueba;Desaprueba;Farc;Oscar Conde Ortiz;Luis Francisco Ruíz Aguilar
FLORENCIA;Femenino;25-34;Primaria;Mal Camino;Inseguridad;Aprueba;Ns/Nr;Ns/Nr;Desaprueba;Ns / Nr;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;45-54;Secundaria;Buen Camino;Corrupción;Desaprueba;Desaprueba;Aprueba;Aprueba;Centro Democrático;César Augusto Torres Ríos;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Inseguridad;Desaprueba;Aprueba;Desaprueba;Desaprueba;Alianza Verde;Luis Francisco Ruíz Aguilar;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;25-34;Universidad;Buen Camino;Inseguridad;Aprueba;Ns/Nr;Aprueba;Desaprueba;Partido Liberal;Oscar Raúl Rojas;Oscar Conde Ortiz
FLORENCIA;Masculino;35-44;Secundaria;Mal Camino;Corrupción;Desaprueba;Desaprueba;Desaprueba;Desaprueba;Centro Democrático;Ns/Nr;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Corrupción;Aprueba;Aprueba;Aprueba;Aprueba;Polo Democrático Alternativo;Oscar Conde Ortiz;Arnulfo Gasca Trujillo
FLORENCIA;Masculino;25-34;Secundaria;Buen Camino;Inseguridad;Aprueba;Desaprueba;Aprueba;Aprueba;Partido Conservador;Arnulfo Gasca Trujillo;Oscar Raúl Rojas
FLORENCIA;Femenino;Mayor de 55;Universidad;Mal Camino;Desempleo;Aprueba;Ns/Nr;Aprueba;Aprueba;Alianza Verde;Ns/Nr;Ns/Nr
FLORENCIA;Masculino;25-34;Universidad;Mal Camino;Guerrilla;Aprueba;Ns/Nr;Ns/Nr;Desaprueba;Mira;James Urrego Carvajal;Oscar Conde Ortiz
FLORENCIA;Femenino;25-34;Secundaria;Mal Camino;Salud;Aprueba;Desaprueba;Aprueba;Aprueba;Cambio Radical;César Augusto Torres Ríos;Oscar Raúl Rojas
FLORENCIA;Femenino;35-44;Universidad;Mal Camino;Salud;Desaprueba;Aprueba;Desaprueba;Aprueba;Partido Conservador;James Urrego Carvajal;Luz Mila Cicery Ortiz
FLORENCIA;Masculino;25-34;Universidad;Buen Camino;Inseguridad;Desaprueba;Desaprueba;Aprueba;Aprueba;Ns / Nr;Luis Antonio Ruiz Cicery;Arnulfo Gasca Trujillo
FLORENCIA;Femenino;35-44;Primaria;Mal Camino;Explotación petrolera;Aprueba;Desaprueba;Ns/Nr;Desaprueba;Alianza Social Independiente - ASI;Ns/Nr;Ns/Nr
FLORENCIA;Femenino;45-54;Secundaria;Ns / Nr;Deforestación;Aprueba;Aprueba;Aprueba;Desaprueba;Centro Democrático;César Augusto Torres Ríos;James Urrego Carvajal
