Municipio, ID, Usted_considera_que_Colombia_va_por_buen_camino_o_mal_camino, Usted_considera_que_el_departamento_de_Caqueta_va_por_buen_camino_o_mal_camino, De_los_siguientes_problemas_cual_cree_que_es_el_que_mas_afecta_a_su_municipio, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Harry_Giovanny_Gonzalez_Garcia, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Representante_Edwin_Alberto_Valdez_Rodriguez, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_los_siguientes_personajes_publicos_Gobernador_alvaro_Pacheco_alvarez, Con_cual_de_los_siguientes_partidos_o_movimientos_politicos_se_siente_mas_afin, Si_las_elecciones_para_elegir_Gobernador_del_Caqueta_fueran_hoy_por_cual_de_los_siguientes_candidatos_usted_votaria, Usted_aprueba_o_desaprueba_la_gestion_llevada_a_cabo_por_el_Alcalde_de_Florencia_Andres_Mauricio_Perdomo_Lara, Estrato, Genero, Edad, ultimo_nivel_educativo, Estado_civil
FLORENCIA,1,Mal Camino,Buen Camino,Corrupción,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Aprueba,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,2,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Polo Democrático Alternativo,Oscar Conde Ortiz,Desaprueba,1,Masculino,25-34,Universidad,Soltero
FLORENCIA,3,Ns / Nr,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,35-44,Secundaria,Separado/Viudo
FLORENCIA,4,Buen Camino,Buen Camino,Salud,Aprueba,Ns/Nr,Aprueba,Mira,Ns/Nr,Desaprueba,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,5,Ns / Nr,Ns / Nr,Malla vial,Aprueba,Aprueba,Desaprueba,Alianza Verde,Ns/Nr,Desaprueba,1,Masculino,25-34,Universidad,Unión libre
FLORENCIA,6,Buen Camino,Buen Camino,Mototaxismo,Desaprueba,Aprueba,Desaprueba,Cambio Radical,Luis Francisco Ruíz Aguilar,Aprueba,3,Masculino,45-54,Posgrado,Casado
FLORENCIA,7,Mal Camino,Mal Camino,Desempleo,Desaprueba,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Masculino,45-54,Universidad,Separado/Viudo
FLORENCIA,8,Ns / Nr,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,2,Femenino,18-24,Posgrado,Soltero
FLORENCIA,9,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,Mayor de 55,Secundaria,Casado
FLORENCIA,10,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Desaprueba,Centro Democrático,Arnulfo Gasca Trujillo,Desaprueba,2,Femenino,Mayor de 55,Secundaria,Separado/Viudo
FLORENCIA,11,Buen Camino,Buen Camino,Malla vial,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Oscar Raúl Rojas,Desaprueba,3,Masculino,25-34,Posgrado,Casado
FLORENCIA,12,Ns / Nr,Ns / Nr,Mototaxismo,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,35-44,Primaria,Unión libre
FLORENCIA,13,Mal Camino,Ns / Nr,Corrupción,Ns/Nr,Ns/Nr,Ns/Nr,Alianza Verde,James Urrego Carvajal,Desaprueba,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,14,Mal Camino,Mal Camino,Educación,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,25-34,Universidad,Soltero
FLORENCIA,15,Mal Camino,Buen Camino,Malla vial,Desaprueba,Ns/Nr,Aprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,35-44,Tecnología,Soltero
FLORENCIA,16,Ns / Nr,Mal Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Oscar Conde Ortiz,Desaprueba,2,Femenino,45-54,Primaria,Casado
FLORENCIA,17,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Aprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Ns/Nr,2,Femenino,25-34,Secundaria,Unión libre
FLORENCIA,18,Buen Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Centro Democrático,Luis Antonio Ruiz Cicery,Aprueba,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,19,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Centro Democrático,Ns/Nr,Desaprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,20,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Mira,Ns/Nr,Desaprueba,1,Masculino,45-54,Secundaria,Unión libre
FLORENCIA,21,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Partido Liberal,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,25-34,Posgrado,Soltero
FLORENCIA,22,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,45-54,Primaria,Unión libre
FLORENCIA,23,Mal Camino,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Aprueba,Farc,Oscar Conde Ortiz,Desaprueba,2,Masculino,25-34,Posgrado,Casado
FLORENCIA,24,Mal Camino,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Ns/Nr,Ns / Nr,Oscar Conde Ortiz,Desaprueba,2,Femenino,25-34,Primaria,Soltero
FLORENCIA,25,Mal Camino,Buen Camino,Malla vial,Desaprueba,Desaprueba,Aprueba,Centro Democrático,César Augusto Torres Ríos,Aprueba,1,Femenino,45-54,Secundaria,Casado
FLORENCIA,26,Mal Camino,Mal Camino,Corrupción,Desaprueba,Aprueba,Desaprueba,Alianza Verde,Luis Francisco Ruíz Aguilar,Desaprueba,2,Masculino,25-34,Universidad,Soltero
FLORENCIA,27,Buen Camino,Buen Camino,Inseguridad,Aprueba,Ns/Nr,Aprueba,Partido Liberal,Oscar Raúl Rojas,Desaprueba,2,Masculino,25-34,Universidad,Unión libre
FLORENCIA,28,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Centro Democrático,Ns/Nr,Desaprueba,2,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,29,Buen Camino,Mal Camino,Corrupción,Aprueba,Aprueba,Aprueba,Polo Democrático Alternativo,Oscar Conde Ortiz,Aprueba,2,Femenino,35-44,Universidad,Unión libre
FLORENCIA,30,Buen Camino,Buen Camino,Inseguridad,Aprueba,Desaprueba,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Aprueba,2,Masculino,25-34,Secundaria,Unión libre
FLORENCIA,31,Mal Camino,Mal Camino,Mototaxismo,Aprueba,Ns/Nr,Aprueba,Alianza Verde,Ns/Nr,Aprueba,3,Femenino,Mayor de 55,Universidad,Casado
FLORENCIA,32,Buen Camino,Mal Camino,Malla vial,Aprueba,Ns/Nr,Ns/Nr,Mira,James Urrego Carvajal,Desaprueba,3,Masculino,25-34,Universidad,Soltero
FLORENCIA,33,Mal Camino,Mal Camino,Malla vial,Aprueba,Desaprueba,Aprueba,Cambio Radical,César Augusto Torres Ríos,Aprueba,1,Femenino,25-34,Secundaria,Unión libre
FLORENCIA,34,Mal Camino,Mal Camino,Salud,Desaprueba,Aprueba,Desaprueba,Partido Conservador,James Urrego Carvajal,Aprueba,2,Femenino,35-44,Universidad,Casado
FLORENCIA,35,Mal Camino,Buen Camino,Malla vial,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Luis Antonio Ruiz Cicery,Aprueba,1,Masculino,25-34,Universidad,Casado
FLORENCIA,36,Mal Camino,Mal Camino,Mototaxismo,Aprueba,Desaprueba,Ns/Nr,Alianza Social Independiente - ASI,Ns/Nr,Desaprueba,1,Femenino,35-44,Primaria,Casado
FLORENCIA,37,Buen Camino,Ns / Nr,Desempleo,Aprueba,Aprueba,Aprueba,Centro Democrático,César Augusto Torres Ríos,Desaprueba,2,Femenino,45-54,Secundaria,Casado
FLORENCIA,38,Mal Camino,Mal Camino,Corrupción,Aprueba,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,18-24,Universidad,Soltero
FLORENCIA,39,Mal Camino,Buen Camino,Corrupción,Desaprueba,Desaprueba,Aprueba,Ns / Nr,Oscar Conde Ortiz,Aprueba,1,Masculino,35-44,Secundaria,Unión libre
FLORENCIA,40,Buen Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Alianza Verde,Luis Antonio Ruiz Cicery,Desaprueba,1,Masculino,45-54,Primaria,Casado
FLORENCIA,41,Buen Camino,Buen Camino,Guerrilla,Desaprueba,Desaprueba,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,1,Masculino,45-54,Primaria,Separado/Viudo
FLORENCIA,42,Mal Camino,Mal Camino,Corrupción,Ns/Nr,Desaprueba,Desaprueba,Ns / Nr,Oscar Conde Ortiz,Desaprueba,2,Femenino,45-54,Primaria,Casado
FLORENCIA,43,Ns / Nr,Ns / Nr,Ns/Nr,Desaprueba,Desaprueba,Aprueba,Alianza Verde,Luis Antonio Ruiz Cicery,Desaprueba,2,Masculino,35-44,Secundaria,Soltero
FLORENCIA,44,Buen Camino,Buen Camino,Mototaxismo,Aprueba,Ns/Nr,Aprueba,Partido de la U,Ns/Nr,Ns/Nr,1,Femenino,25-34,Tecnología,Soltero
FLORENCIA,45,Mal Camino,Mal Camino,Vivienda,Desaprueba,Ns/Nr,Desaprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,25-34,Tecnología,Soltero
FLORENCIA,46,Mal Camino,Mal Camino,Inseguridad,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,César Augusto Torres Ríos,Desaprueba,2,Femenino,Mayor de 55,Primaria,Separado/Viudo
FLORENCIA,47,Ns / Nr,Ns / Nr,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,1,Femenino,35-44,Secundaria,Casado
FLORENCIA,48,Ns / Nr,Mal Camino,Malla vial,Aprueba,Ns/Nr,Aprueba,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,35-44,Universidad,Separado/Viudo
FLORENCIA,49,Mal Camino,Mal Camino,Malla vial,Desaprueba,Desaprueba,Desaprueba,Centro Democrático,Arnulfo Gasca Trujillo,Desaprueba,2,Femenino,25-34,Universidad,Casado
FLORENCIA,50,Mal Camino,Mal Camino,Salud,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Aprueba,2,Masculino,Mayor de 55,Posgrado,Casado
FLORENCIA,51,Buen Camino,Mal Camino,Inseguridad,Desaprueba,Aprueba,Ns/Nr,Ns / Nr,Luis Francisco Ruíz Aguilar,Ns/Nr,2,Femenino,35-44,Universidad,Unión libre
FLORENCIA,52,Mal Camino,Buen Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Mira,César Augusto Torres Ríos,Desaprueba,2,Femenino,Mayor de 55,Primaria,Soltero
FLORENCIA,53,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Desaprueba,Alianza Verde,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,35-44,Secundaria,Casado
FLORENCIA,54,Ns / Nr,Mal Camino,Vivienda,Ns/Nr,Aprueba,Aprueba,Ns / Nr,James Urrego Carvajal,Desaprueba,1,Femenino,Mayor de 55,Secundaria,Unión libre
FLORENCIA,55,Mal Camino,Mal Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Polo Democrático Alternativo,Ns/Nr,Desaprueba,2,Femenino,25-34,Universidad,Soltero
FLORENCIA,56,Mal Camino,Mal Camino,Corrupción,Desaprueba,Desaprueba,Desaprueba,Alianza Verde,Luis Francisco Ruíz Aguilar,Desaprueba,1,Femenino,35-44,Tecnología,Unión libre
FLORENCIA,57,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,3,Femenino,35-44,Posgrado,Casado
FLORENCIA,58,Mal Camino,Mal Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Partido Conservador,Arnulfo Gasca Trujillo,Desaprueba,3,Femenino,35-44,Universidad,Unión libre
FLORENCIA,59,Ns / Nr,Mal Camino,Desempleo,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,Oscar Conde Ortiz,Desaprueba,1,Femenino,18-24,Universidad,Unión libre
FLORENCIA,60,Buen Camino,Mal Camino,Educación,Desaprueba,Aprueba,Ns/Nr,Ns / Nr,Luis Antonio Ruiz Cicery,Ns/Nr,1,Masculino,Mayor de 55,Primaria,Casado
FLORENCIA,61,Mal Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Desaprueba,Partido Liberal,Ns/Nr,Desaprueba,1,Femenino,18-24,Secundaria,Unión libre
FLORENCIA,62,Mal Camino,Buen Camino,Salud,Desaprueba,Ns/Nr,Aprueba,Partido Liberal,Ns/Nr,Desaprueba,2,Masculino,45-54,Secundaria,Soltero
FLORENCIA,63,Mal Camino,Mal Camino,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,2,Femenino,35-44,Universidad,Casado
FLORENCIA,64,Mal Camino,Mal Camino,Desempleo,Aprueba,Desaprueba,Aprueba,Polo Democrático Alternativo,Arnulfo Gasca Trujillo,Desaprueba,2,Masculino,45-54,Universidad,Soltero
FLORENCIA,65,Buen Camino,Buen Camino,Vivienda,Aprueba,Ns/Nr,Desaprueba,Partido Conservador,James Urrego Carvajal,Desaprueba,1,Masculino,35-44,Secundaria,Casado
FLORENCIA,66,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Oscar Raúl Rojas,Desaprueba,2,Masculino,45-54,Posgrado,Casado
FLORENCIA,67,Mal Camino,Mal Camino,Malla vial,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Oscar Raúl Rojas,Desaprueba,2,Masculino,45-54,Posgrado,Casado
FLORENCIA,68,Mal Camino,Mal Camino,Corrupción,Desaprueba,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Desaprueba,2,Masculino,Mayor de 55,Universidad,Casado
FLORENCIA,69,Buen Camino,Buen Camino,Corrupción,Aprueba,Ns/Nr,Aprueba,Polo Democrático Alternativo,Arnulfo Gasca Trujillo,Desaprueba,3,Masculino,18-24,Posgrado,Casado
FLORENCIA,70,Mal Camino,Ns / Nr,Malla vial,Aprueba,Desaprueba,Aprueba,Partido Conservador,Arnulfo Gasca Trujillo,Ns/Nr,1,Femenino,18-24,Universidad,Soltero
FLORENCIA,71,Ns / Nr,Ns / Nr,Inseguridad,Ns/Nr,Ns/Nr,Ns/Nr,Ns / Nr,Ns/Nr,Ns/Nr,1,Femenino,Mayor de 55,Primaria,Ns/Nr
FLORENCIA,72,Buen Camino,Buen Camino,Inseguridad,Desaprueba,Desaprueba,Desaprueba,Partido Conservador,Arnulfo Gasca Trujillo,Desaprueba,1,Femenino,35-44,Secundaria,Unión libre
FLORENCIA,73,Mal Camino,Buen Camino,Desempleo,Aprueba,Ns/Nr,Aprueba,Centro Democrático,Luis Antonio Ruiz Cicery,Desaprueba,2,Femenino,Mayor de 55,Primaria,Separado/Viudo
